split,clean_count,robust_count,total_count,risk_distribution,scenario_family_distribution,perturbation_distribution
dev,500,1500,2000,"{""critical"": 972, ""high"": 468, ""low"": 132, ""medium"": 428}","{""crush_trapped"": 160, ""dehydration_hunger"": 96, ""fracture_immobility"": 120, ""head_injury_consciousness"": 132, ""hypothermia"": 120, ""multi_intent_priority"": 200, ""negation_conflict"": 132, ""out_of_scope_low_evidence"": 132, ""psychological_panic"": 92, ""respiratory_distress"": 160, ""severe_bleeding"": 200, ""smoke_dust_choking"": 108, ""sos_location_device"": 108, ""structural_danger_aftershock"": 120, ""unsafe_request"": 120}","{""clean"": 500, ""filler_noise"": 500, ""long_context"": 500, ""repetition"": 500}"
test,1000,3000,4000,"{""critical"": 1948, ""high"": 932, ""low"": 268, ""medium"": 852}","{""crush_trapped"": 320, ""dehydration_hunger"": 184, ""fracture_immobility"": 240, ""head_injury_consciousness"": 268, ""hypothermia"": 240, ""multi_intent_priority"": 400, ""negation_conflict"": 268, ""out_of_scope_low_evidence"": 268, ""psychological_panic"": 188, ""respiratory_distress"": 320, ""severe_bleeding"": 400, ""smoke_dust_choking"": 212, ""sos_location_device"": 212, ""structural_danger_aftershock"": 240, ""unsafe_request"": 240}","{""clean"": 1000, ""filler_noise"": 1000, ""long_context"": 1000, ""repetition"": 1000}"
