Split,Manual RouteAcc,DE RouteAcc,ΔRouteAcc,Manual HRR,DE HRR,ΔHRR,Manual URR,DE URR,ΔURR,Manual P95,DE P95,ΔP95
clean,0.5490,0.5490,0.0000,0.7089,0.7089,0.0000,0.0000,0.0000,0.0000,36.48,35.00,-1.48
robust,0.6077,0.6077,0.0000,0.8164,0.8164,0.0000,0.0000,0.0000,0.0000,34.61,34.87,0.25
