group,name,num_cases,RouteAcc,ProtocolAcc,PrimaryIntentAcc,HRR,HMR,URR,UCR,RC,ClarificationAcc,avg_latency_ms,p95_latency_ms,avg_response_length,num_route_eval_cases,num_protocol_eval_cases,num_primary_intent_eval_cases,num_high_risk_cases,num_low_evidence_cases
clean,vanilla-rag,1000,0.067,0.0,0.067,0.0,1.0,0.0,0.0,0.0,1.0,41.917976900229405,99.70900000189431,24.965,1000,1000,1000,766,67
robust,vanilla-rag,3000,0.067,0.0,0.067,0.0,1.0,0.0,0.0,1.0,1.0,34.0555089000239,41.545899999618996,24.47833333333333,3000,3000,3000,2298,201
clean,rag-guard,1000,0.067,0.0,0.067,0.0,1.0,0.0,0.0,0.0,1.0,41.214109299915435,99.4831999996677,24.965,1000,1000,1000,766,67
robust,rag-guard,3000,0.067,0.0,0.067,0.0,1.0,0.0,0.0,1.0,1.0,33.91307119993144,42.01620000094408,24.47833333333333,3000,3000,3000,2298,201
clean,hsc-rag-manual,1000,0.549,0.138,0.549,0.7088772845953003,0.2911227154046997,0.0,0.0,0.0,1.0,28.439733799874375,36.47540000383742,21.348,1000,1000,1000,766,67
robust,hsc-rag-manual,3000,0.6076666666666667,0.14,0.6076666666666667,0.8163620539599652,0.1836379460400348,0.0,0.0,0.589,0.9800995024875622,15.628582433377838,34.611800001584925,22.286333333333335,3000,3000,3000,2298,201
clean,hsc-rag-de,1000,0.549,0.138,0.549,0.7088772845953003,0.2911227154046997,0.0,0.0,0.0,1.0,28.009732499805978,34.99629999714671,21.348,1000,1000,1000,766,67
robust,hsc-rag-de,3000,0.6076666666666667,0.14,0.6076666666666667,0.8163620539599652,0.1836379460400348,0.0,0.0,0.589,0.9800995024875622,15.635863166722023,34.865999994508456,22.235666666666667,3000,3000,3000,2298,201
